"Country","Service","year","export"
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2023",0
"Japan","Maintenance And Repair Services","2023",1.1058
"Japan","Transport","2023",7.1192
"Japan","Insurance","2023",1.8035
"Japan","Construction","2023",0.0792
"Japan","Financial","2023",1.755
"Japan","Telecommunications, Computer & Information","2023",5.5444
"Japan","Charges For The Use Of Intellectual Property","2023",0.4693
"Japan","Personal, Cultural And Recreational","2023",0.0838
"Japan","Trade-Related","2023",0.6252
"Japan","Business Management","2023",2.946
"Japan","Other Services","2023",0
"China","Manufacturing Services On Physical Inputs Owned By Others","2023",0
"China","Maintenance And Repair Services","2023",0.9659
"China","Transport","2023",14.8833
"China","Insurance","2023",1.3143
"China","Construction","2023",0.0906
"China","Financial","2023",2.318
"China","Telecommunications, Computer & Information","2023",2.6965
"China","Charges For The Use Of Intellectual Property","2023",0.5949
"China","Personal, Cultural And Recreational","2023",0.1492
"China","Trade-Related","2023",0
"China","Business Management","2023",1.5257
"China","Other Services","2023",2.4009
"USA","Manufacturing Services On Physical Inputs Owned By Others","2023",0.0266
"USA","Maintenance And Repair Services","2023",3.2909
"USA","Transport","2023",20.0198
"USA","Insurance","2023",0.6507
"USA","Construction","2023",0.0476
"USA","Financial","2023",2.7656
"USA","Telecommunications, Computer & Information","2023",5.2556
"USA","Charges For The Use Of Intellectual Property","2023",0.4429
"USA","Personal, Cultural And Recreational","2023",1.0707
"USA","Trade-Related","2023",1.4257
"USA","Business Management","2023",10.391
"USA","Other Services","2023",5.7356
"UK","Manufacturing Services On Physical Inputs Owned By Others","2023",0.1543
"UK","Maintenance And Repair Services","2023",0.5885
"UK","Transport","2023",5.0444
"UK","Insurance","2023",0.3869
"UK","Construction","2023",0.0146
"UK","Financial","2023",3.2086
"UK","Telecommunications, Computer & Information","2023",1.4548
"UK","Charges For The Use Of Intellectual Property","2023",0.1223
"UK","Personal, Cultural And Recreational","2023",0.3617
"UK","Trade-Related","2023",0.4919
"UK","Business Management","2023",5.2323
"UK","Other Services","2023",3.1454
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2023",0
"Australia","Maintenance And Repair Services","2023",0.3872
"Australia","Transport","2023",7.5714
"Australia","Insurance","2023",0.9578
"Australia","Construction","2023",0.0823
"Australia","Financial","2023",3.3377
"Australia","Telecommunications, Computer & Information","2023",4.027
"Australia","Charges For The Use Of Intellectual Property","2023",0.3698
"Australia","Personal, Cultural And Recreational","2023",0.1343
"Australia","Trade-Related","2023",1.4222
"Australia","Business Management","2023",2.8262
"Australia","Other Services","2023",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2022",0
"Japan","Maintenance And Repair Services","2022",0.7348
"Japan","Transport","2022",9.8905
